x0-5,p0-5,x5-12,p5-12,x12-18,p12-18,x18-25,p18-25,x25-40,p25-40,x40-60,p40-60,x60-100,p60-100
24.0,7.900110996559502e-06,24.0,5.88574590057798e-06,23.0,1.4032724313098146e-05,23.0,6.12990494560731e-06,23.0,2.38658263244042e-05,23.0,8.604886078790826e-05,23.0,0.00011420441938473185
25.0,7.900110996559502e-06,25.0,2.94287295028899e-06,24.0,7.016362156549073e-06,24.0,1.021650824267885e-05,24.0,1.0938503732018592e-05,24.0,6.983675658149076e-05,24.0,9.788950232977016e-05
26.0,1.1850166494839252e-05,26.0,5.88574590057798e-06,26.0,7.016362156549073e-06,25.0,8.17320659414308e-06,25.0,1.2927322592385608e-05,25.0,3.865963310761096e-05,25.0,7.178563504183145e-05
27.0,1.1850166494839252e-05,27.0,8.82861885086697e-06,27.0,7.016362156549073e-06,27.0,2.04330164853577e-06,26.0,1.0938503732018592e-05,26.0,3.616546322970057e-05,26.0,3.2629834109923386e-05
28.0,3.950055498279751e-06,30.0,5.88574590057798e-06,30.0,3.5081810782745364e-06,28.0,2.04330164853577e-06,27.0,8.949684871651575e-06,27.0,4.115380298552134e-05,27.0,5.220773457587742e-05
29.0,3.950055498279751e-06,31.0,2.94287295028899e-06,33.0,3.5081810782745364e-06,29.0,6.12990494560731e-06,28.0,5.96645658110105e-06,28.0,1.62121042064175e-05,28.0,3.915580093190806e-05
32.0,3.950055498279751e-06,32.0,5.88574590057798e-06,39.0,3.5081810782745364e-06,31.0,2.04330164853577e-06,29.0,2.983228290550525e-06,29.0,8.729594572686345e-06,29.0,2.284088387694637e-05
35.0,3.950055498279751e-06,33.0,2.94287295028899e-06,62.0,3.5081810782745364e-06,32.0,2.04330164853577e-06,30.0,3.977637720734033e-06,30.0,7.482509633731153e-06,30.0,3.5892817520915724e-05
39.0,3.950055498279751e-06,35.0,2.94287295028899e-06,0.0,0.0,34.0,2.04330164853577e-06,31.0,2.983228290550525e-06,31.0,9.976679511641537e-06,31.0,3.2629834109923386e-05
0.0,0.0,38.0,2.94287295028899e-06,0.0,0.0,45.0,2.04330164853577e-06,32.0,3.977637720734033e-06,32.0,6.2354246947759614e-06,32.0,6.525966821984677e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.9888188603670166e-06,33.0,1.62121042064175e-05,33.0,6.525966821984677e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,9.944094301835083e-07,34.0,1.1223764450596731e-05,34.0,1.3051933643969354e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.944094301835083e-07,35.0,2.4941698779103843e-06,35.0,3.2629834109923386e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,9.944094301835083e-07,36.0,3.7412548168655767e-06,36.0,3.2629834109923386e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.983228290550525e-06,37.0,2.4941698779103843e-06,40.0,3.2629834109923386e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.9888188603670166e-06,38.0,2.4941698779103843e-06,42.0,3.2629834109923386e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,9.944094301835083e-07,39.0,3.7412548168655767e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,9.944094301835083e-07,41.0,2.4941698779103843e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,9.944094301835083e-07,42.0,2.4941698779103843e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.944094301835083e-07,43.0,1.2470849389551922e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,9.944094301835083e-07,47.0,1.2470849389551922e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,9.944094301835083e-07,54.0,1.2470849389551922e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.2470849389551922e-06,0.0,0.0
